Año;Mês;;TOTAL;Domestico;Comécio y Industria;Servicios Ayuntamiento
2005;     Agosto  ;;8.552.741  ;5.452.508  ;2.586.570  ;513.663  
2005;     Septiembre  ;;9.341.825  ;5.675.648  ;3.072.677  ;593.500  
2005;     Octubre  ;;9.046.895  ;5.913.427  ;2.572.629  ;560.839  
2005;     Noviembre  ;;8.628.818  ;5.648.978  ;2.590.835  ;389.005  
2005;     Diciembre  ;;6.480.333  ;3.796.776  ;2.251.827  ;431.730  
2006;     Enero  ;;10.788.365  ;7.386.079  ;2.909.807  ;492.479  
2006;     Febrero  ;;8.290.973  ;5.935.352  ;2.102.752  ;252.869  
2006;     Marzo  ;;9.645.308  ;6.404.345  ;2.802.442  ;438.521  
2006;     Abril  ;;7.420.533  ;4.983.643  ;2.081.623  ;355.267  
2006;     Mayo  ;;9.929.308  ;6.560.526  ;2.796.719  ;572.063  
2006;     Junio  ;;9.473.365  ;5.793.605  ;3.074.599  ;605.161  
2006;     Julio  ;;10.342.420  ;6.739.967  ;2.841.721  ;760.732  
2006;     Agosto  ;;7.791.272  ;4.885.344  ;2.387.931  ;517.997  
2006;     Septiembre  ;;8.675.689  ;5.416.439  ;2.696.617  ;562.633  
2006;     Octubre  ;;9.469.538  ;5.788.870  ;2.954.191  ;726.477  
2006;     Noviembre  ;;8.247.241  ;5.122.482  ;2.603.869  ;520.890  
2006;     Diciembre  ;;7.048.713  ;4.187.072  ;2.410.111  ;451.530  
2007;     Enero  ;;10.625.050  ;6.959.700  ;3.213.824  ;451.526  
2007;     Febrero  ;;8.659.094  ;6.251.119  ;1.907.979  ;499.996  
2007;     Marzo  ;;9.082.300  ;6.002.121  ;2.591.667  ;488.512  
2007;     Abril  ;;8.698.205  ;5.725.593  ;2.523.743  ;448.869  
2007;     Mayo  ;;8.631.679  ;5.560.575  ;2.499.636  ;571.468  
2007;     Junio  ;;8.771.153  ;5.819.586  ;2.526.770  ;424.797  
2007;     Julio  ;;10.316.668  ;6.369.794  ;3.194.868  ;752.006  
2007;     Agosto  ;;8.362.681  ;5.203.687  ;2.495.997  ;662.997  
2007;     Septiembre  ;;7.913.819  ;4.721.118  ;2.705.052  ;487.649  
2007;     Octubre  ;;9.240.952  ;6.166.873  ;2.449.085  ;624.994  
2007;     Noviembre  ;;7.785.807  ;4.879.820  ;2.412.253  ;493.734  
2007;     Diciembre  ;;5.683.811  ;2.982.350  ;2.233.951  ;467.510  
2008;     Enero  ;;11.220.224  ;7.605.088  ;3.028.764  ;586.372  
2008;     Febrero  ;;9.310.494  ;6.701.216  ;2.263.308  ;345.970  
2008;     Marzo  ;;7.459.727  ;4.829.942  ;2.310.102  ;319.683  
2008;     Abril  ;;9.144.923  ;6.300.076  ;2.553.448  ;291.399  
2008;     Mayo  ;;7.816.450  ;5.318.233  ;2.262.473  ;235.744  
2008;     Junio  ;;7.784.593  ;4.955.599  ;2.592.141  ;236.853  
2008;     Julio  ;;8.838.252  ;6.185.761  ;2.389.579  ;262.912  
2008;     Agosto  ;;7.650.121  ;4.935.915  ;2.363.900  ;350.306  
2008;     Septiembre  ;;8.334.446  ;5.071.897  ;2.838.670  ;423.879  
2008;     Octubre  ;;8.819.827  ;5.834.790  ;2.565.542  ;419.495  
2008;     Noviembre  ;;7.799.856  ;5.091.917  ;2.364.698  ;343.241  
2008;     Diciembre  ;;6.021.367  ;3.739.969  ;1.958.283  ;323.115  
2009;     Enero  ;;9.157.476  ;6.454.028  ;2.399.453  ;303.995  
2009;     Febrero  ;;7.432.602  ;5.473.187  ;1.728.153  ;231.262  
2009;     Marzo  ;;9.827.531  ;6.626.267  ;2.870.704  ;330.560  
2009;     Abril  ;;7.534.760  ;5.505.260  ;1.761.777  ;267.723  
2009;     Mayo  ;;7.468.062  ;4.809.513  ;2.319.394  ;339.155  
2009;     Junio  ;;7.904.050  ;5.223.629  ;2.304.096  ;376.325  
2009;     Julio  ;;9.674.154  ;6.444.443  ;2.747.387  ;482.324  
2009;     Agosto  ;;8.570.019  ;5.619.612  ;2.468.519  ;481.888  
2009;     Septiembre  ;;7.601.732  ;4.648.651  ;2.388.223  ;564.858  
2009;     Octubre  ;;7.375.205  ;4.586.442  ;2.269.276  ;519.487  
2009;     Noviembre  ;;8.648.302  ;5.988.539  ;2.302.319  ;357.444  
2009;     Diciembre  ;;6.394.288  ;3.773.863  ;2.222.851  ;397.574  
2010;     Enero  ;;8.964.190  ;6.470.715  ;2.120.420  ;373.055  
2010;     Febrero  ;;8.098.688  ;5.784.981  ;2.005.837  ;307.870  
2010;     Marzo  ;;9.279.278  ;6.335.381  ;2.622.410  ;321.487  
2010;     Abril  ;;7.754.119  ;5.428.187  ;2.024.887  ;301.045  
2010;     Mayo  ;;7.486.093  ;5.103.871  ;2.064.927  ;317.295  
2010;     Junio  ;;7.799.807  ;4.997.698  ;2.503.998  ;298.111  
2010;     Julio  ;;9.108.103  ;6.258.856  ;2.398.146  ;451.101  
2010;     Agosto  ;;8.445.819  ;5.443.903  ;2.548.836  ;453.080  
2010;     Septiembre  ;;8.078.026  ;4.829.829  ;2.700.311  ;547.886  
2010;     Octubre  ;;8.344.367  ;5.273.973  ;2.522.581  ;547.813  
2010;     Noviembre  ;;7.437.954  ;4.995.512  ;2.047.526  ;394.916  
2010;     Diciembre  ;;6.635.539  ;4.006.373  ;2.181.038  ;448.128  
2011;     Enero  ;;9.521.743  ;6.721.013  ;2.417.180  ;383.550  
2011;     Febrero  ;;7.930.716  ;5.761.773  ;1.877.111  ;291.832  
2011;     Marzo  ;;8.416.938  ;5.589.323  ;2.438.976  ;388.639  
